Number,Age0To4Abs,Age0To4Rate,Age13To18Abs,Age13To18Rate,Age19To24Abs,Age19To24Rate,Age25To34Abs,Age25To34Rate,Age35To44Abs,Age35To44Rate,Age45To54Abs,Age45To54Rate,Age5To12Abs,Age5To12Rate,Age55To64Abs,Age55To64Rate,Age65To74Abs,Age65To74Rate,Age75To84Abs,Age75To84Rate,Age85PlusAbs,Age85PlusRate,AgeNationalAbs,AgeNationalRate
27,5,1.5,2,0.5,8,2.4,23,3.5,16,2.1,15,2.4,3,0.5,8,1.6,2,0.5,8,4.1,3,4.4,95,2.0
28,4,1.2,4,1.1,35,10.6,29,4.4,24,3.2,10,1.6,6,1.1,6,1.2,5,1.3,1,0.5,1,1.5,124,2.6
29,4,1.2,2,0.5,18,5.4,38,5.8,20,2.7,21,3.4,1,0.2,13,2.6,14,3.7,5,2.5,3,4.4,138,2.9
30,5,1.5,4,1.1,14,4.2,31,4.7,22,2.9,22,3.5,2,0.4,9,1.8,6,1.6,2,1.0,2,3.0,119,2.5
31,18,5.4,22,5.9,34,10.3,70,10.6,43,5.8,40,6.4,23,4.2,15,2.9,10,2.7,6,3.1,3,4.4,286,6.0
32,20,6.0,32,8.6,55,16.6,155,23.5,113,15.1,82,13.1,22,4.0,41,8.1,15,4.0,4,2.0,1,1.5,538,11.3
33,18,5.4,35,9.4,88,26.6,107,16.2,90,12.1,82,13.1,43,7.8,43,8.4,28,7.5,6,3.1,6,8.9,548,11.5
34,27,8.1,59,15.9,119,35.9,159,24.1,116,15.5,90,14.4,45,8.2,63,12.4,21,5.6,9,4.6,3,4.4,710,14.9
35,21,6.3,64,17.2,145,43.8,156,23.7,126,16.9,113,18.0,49,8.9,62,12.2,28,7.5,25,12.7,5,7.4,795,16.7
36,34,10.3,55,14.8,159,48.0,168,25.5,142,19.0,112,17.9,68,12.4,76,14.9,44,11.8,29,14.8,24,35.5,914,19.2
37,60,18.1,88,23.7,195,58.9,254,38.5,200,26.8,157,25.1,101,18.4,123,24.2,75,20.1,28,14.2,22,32.6,1305,27.4
38,68,20.5,175,47.1,315,95.1,305,46.3,285,38.2,285,45.5,128,23.3,190,37.3,129,34.5,48,24.4,19,28.1,1948,40.9
39,46,13.9,140,37.7,421,127.1,398,60.4,290,38.8,265,42.3,128,23.3,182,35.8,107,28.6,58,29.5,25,37.0,2062,43.3
40,82,24.7,215,57.9,591,178.4,550,83.4,471,63.1,423,67.6,130,23.7,320,62.9,143,38.3,71,36.1,35,51.8,3033,63.7
41,121,36.5,399,107.4,911,275.1,758,115.0,598,80.1,587,93.8,229,41.7,437,85.9,209,56.0,124,63.1,82,121.4,4457,93.6
42,220,66.4,708,190.5,1487,449.0,1278,193.8,1031,138.0,957,152.9,425,77.5,720,141.5,332,88.9,156,79.4,82,121.4,7400,155.4
43,288,86.9,663,178.4,1209,365.0,1045,158.5,954,127.7,933,149.0,537,97.9,772,151.7,359,96.1,192,97.7,119,176.2,7071,148.5
44,206,62.1,464,124.9,663,200.2,696,105.5,681,91.2,706,112.8,421,76.7,489,96.1,267,71.5,152,77.4,93,137.7,4838,101.6
45,150,45.2,273,73.5,375,113.2,596,90.4,545,73.0,485,77.5,265,48.3,310,60.9,193,51.7,142,72.3,88,130.3,3424,71.9
46,103,31.1,219,58.9,314,94.8,403,61.1,392,52.5,362,57.8,196,35.7,243,47.7,145,38.8,117,59.5,89,131.7,2581,54.2
47,115,34.7,268,72.1,327,98.7,398,60.4,414,55.4,354,56.5,215,39.2,208,40.9,123,32.9,89,45.3,68,100.7,2581,54.2
48,77,23.2,239,64.3,257,77.6,279,42.3,248,33.2,163,26.0,152,27.7,155,30.5,90,24.1,88,44.8,50,74.0,1800,37.8
49,95,28.7,201,54.1,323,97.5,301,45.6,277,37.1,209,33.4,160,29.2,181,35.6,113,30.3,91,46.3,77,114.0,2029,42.6
50,82,24.7,183,49.2,332,100.2,311,47.2,308,41.2,200,31.9,152,27.7,190,37.3,93,24.9,68,34.6,46,68.1,1967,41.3
51,117,35.3,369,99.3,580,175.1,566,85.8,472,63.2,282,45.0,242,44.1,383,75.3,165,44.2,123,62.6,68,100.7,3367,70.7
52,239,72.1,951,255.9,1255,378.9,1049,159.1,914,122.4,411,65.7,412,75.1,718,141.1,333,89.2,203,103.3,123,182.1,6609,138.8
53,392,118.2,2674,719.6,3156,952.9,2362,358.2,2231,298.7,689,110.1,929,169.3,1801,353.9,867,232.1,396,201.5,251,371.5,15752,330.8
54,884,266.7,6510,1751.9,9071,2738.8,7409,1123.6,6919,926.4,1645,262.8,2824,514.7,5806,1140.8,2510,672.0,1316,669.7,757,1120.6,45657,958.8
55,507,152.9,2743,738.2,4306,1300.1,4168,632.1,4146,555.1,801,127.9,1403,255.7,3247,638.0,1597,427.6,1288,655.5,957,1416.6,25190,529.0
56,322,97.1,732,197.0,1519,458.6,2632,399.1,2583,345.8,2426,387.5,502,91.5,1778,349.3,874,234.0,791,402.5,654,968.1,14814,311.1
57,279,84.2,503,135.4,899,271.4,1457,221.0,1497,200.4,1370,218.8,350,63.8,980,192.6,548,146.7,541,275.3,504,746.1,8928,187.5
58,215,64.9,462,124.3,818,247.0,1132,171.7,1209,161.9,1084,173.2,374,68.2,759,149.1,398,106.6,353,179.6,342,506.3,7148,150.1
59,326,98.3,502,135.1,765,231.0,1005,152.4,926,124.0,802,128.1,468,85.3,560,110.0,290,77.6,239,121.6,147,217.6,6033,126.7
60,304,91.7,384,103.3,933,281.7,869,131.8,865,115.8,653,104.3,436,79.5,484,95.1,257,68.8,210,106.9,135,199.8,5529,116.1
61,285,86.0,326,87.7,658,198.7,744,112.8,713,95.5,621,99.2,377,68.7,392,77.0,181,48.5,151,76.8,105,155.4,4552,95.6
62,235,70.9,276,74.3,481,145.2,633,96.0,546,73.1,448,71.6,344,62.7,354,69.6,173,46.3,96,48.9,47,69.6,3633,76.3
63,220,66.4,316,85.0,508,153.4,582,88.3,581,77.8,429,68.5,352,64.2,265,52.1,157,42.0,98,49.9,33,48.8,3543,74.4
